"";"ano";"uf";"divisao";"percentual";"vinculos"
"215";1994;"MA";23;0,780487804878049;492
"225";1994;"MA";24;0,355918367346939;1225
"223";1994;"MA";26;0,701324769169008;2491
"228";1994;"MA";27;0,404197080291971;1096
"222";1994;"MA";28;0,392986698911729;827
"216";1994;"MA";29;0,0202020202020202;495
"217";1994;"MA";31;0,174603174603175;63
"227";1994;"MA";34;0,137380191693291;626
"219";1994;"MA";35;0,451219512195122;574
"218";1994;"MA";36;0,758697261287935;1351
"231";1994;"MG";1;0,65602858616052;277337
"252";1994;"MG";5;0,752808988764045;89
"233";1994;"MG";10;0,847913862718708;743
"236";1994;"MG";11;0,418032786885246;244
"234";1994;"MG";13;0,072520966946226;26351
"235";1994;"MG";14;0,369616435774197;21222
"243";1994;"MG";15;0,455438242061297;124737
"247";1994;"MG";16;0,0614672835426305;3026
"249";1994;"MG";17;0,401876806295484;57438
"232";1994;"MG";18;0,785169475759943;53754
"253";1994;"MG";19;0,662969106365333;38584
"244";1994;"MG";20;0,627104465126006;9563
"237";1994;"MG";21;0,329886914378029;9285
"238";1994;"MG";23;0,255150884495317;9610
"248";1994;"MG";24;0,351916555338609;19462
"246";1994;"MG";26;0,477339426932814;44637
"251";1994;"MG";27;0,0911679914095965;85677
"245";1994;"MG";28;0,231135484419504;47046
"239";1994;"MG";29;0,195923293549685;14914
"240";1994;"MG";31;0,167912794353993;14311
"250";1994;"MG";34;0,0725080611243516;35665
"242";1994;"MG";35;0,317732932589094;2329
"241";1994;"MG";36;0,646330504243635;30045
"254";1994;"MS";1;0,600863185153215;46340
"275";1994;"MS";5;0,5;2
"256";1994;"MS";10;1;1
"259";1994;"MS";11;0;0
"257";1994;"MS";13;0,0278063851699279;971
"258";1994;"MS";14;0,366313309776207;849
"266";1994;"MS";15;0,294670560321227;21916
"270";1994;"MS";16;0;51
"272";1994;"MS";17;0,504263093788063;821
"255";1994;"MS";18;0,849633251833741;818
"276";1994;"MS";19;0,439882697947214;341
"267";1994;"MS";20;0,716906946264744;2289
"260";1994;"MS";21;0,608695652173913;69
"261";1994;"MS";23;0,234850217242168;4373
"271";1994;"MS";24;0,433453237410072;556
"269";1994;"MS";26;0,654998195597257;2771
"274";1994;"MS";27;0,651296829971182;347
"268";1994;"MS";28;0,637820512820513;936
"262";1994;"MS";29;0,586605080831409;433
"263";1994;"MS";31;0,662162162162162;296
"273";1994;"MS";34;0,720823798627002;437
"265";1994;"MS";35;0,417582417582418;91
"264";1994;"MS";36;0,722673893405601;1107
"277";1994;"MT";1;0,470953702535638;31708
"298";1994;"MT";5;1;23
"279";1994;"MT";10;0;0
"282";1994;"MT";11;0,352380952380952;210
"280";1994;"MT";13;0,222222222222222;603
"281";1994;"MT";14;0,26654740608229;1118
"289";1994;"MT";15;0,208524413272188;18535
"293";1994;"MT";16;0,0892857142857143;56
"295";1994;"MT";17;0,321481481481481;675
"278";1994;"MT";18;0,716292134831461;712
"299";1994;"MT";19;0,529516994633274;559
"290";1994;"MT";20;0,660796286017056;19817
"283";1994;"MT";21;0,234567901234568;243
"284";1994;"MT";23;0,108740822828647;7219
"294";1994;"MT";24;0,305114638447972;567
"292";1994;"MT";26;0,616173570019724;2535
"297";1994;"MT";27;0,466351829988194;847
"291";1994;"MT";28;0,493738819320215;559
"285";1994;"MT";29;0,450236966824645;211
"286";1994;"MT";31;0,440677966101695;118
"296";1994;"MT";34;0,436911487758945;531
"288";1994;"MT";35;0,8;30
"287";1994;"MT";36;0,637478108581436;1142
"300";1994;"PA";1;0,430172694688824;15345
"321";1994;"PA";5;0,341128325051155;3421
"302";1994;"PA";10;0,636363636363636;33
"305";1994;"PA";11;0,00099304865938431;1007
"303";1994;"PA";13;0,0515341078343759;3357
"304";1994;"PA";14;0,171641791044776;1206
"312";1994;"PA";15;0,408573763278647;15909
"316";1994;"PA";16;0,0155038759689922;129
"318";1994;"PA";17;0,726893676164003;2878
"301";1994;"PA";18;0,829139072847682;755
"322";1994;"PA";19;0,432773109243697;238
"313";1994;"PA";20;0,633918493792176;41641
"306";1994;"PA";21;0,102153846153846;3250
"307";1994;"PA";23;0;0
