"";"totalvinculosup"
"155";0,108553568735232
"156";0,184348901204634
"157";0,0833739983185273
"158";0,102179673884499
"159";0,0486313671044084
"160";0,10736551965524
"161";0,379186131444396
"162";0,67652993639164
"163";0,561360144298216
"164";0,139854486661277
"165";0,0383680624726085
"166";0,090929893309688
"167";0,376784439685939
"168";0,439652916144488
"169";0,539475932782683
"170";0,406652174894132
"171";0,65795594793591
"172";0,665500351279945
"173";0,632264252305955
"174";0,226449091462796
"175";0,351906445338781
"176";0,187774857236229
"177";0,452440710303067
"178";0,150319660584641
"179";0,251372521314247
"180";0,123892425899698
"181";0,149717893213683
"182";0,0697279068126095
"183";0,139658243457496
"184";0,454944689431875
"185";0,703140533045528
"186";0,612616212472362
"187";0,173120262241344
"188";0,048232897108377
"189";0,102285553047404
"190";0,414871423238246
"191";0,487213287816317
"192";0,556676260132548
"193";0,455266877393159
"194";0,713835604443384
"195";0,697052586405207
"196";0,667214750802824
"197";0,26778167546318
"198";0,393506125693195
"199";0,213328166304513
"200";0,498179525613239
"201";0,165284947954328
"202";0,29359924467626
"203";0,150758020065084
"204";0,189258538834923
"205";0,088374132482574
"206";0,149040653828616
"207";0,499450549450549
"208";0,718317454926343
"209";0,637470446560753
"210";0,251082251082251
"211";0,0531623295319955
"212";0,129467157980932
"213";0,445654481382414
"214";0,517707609639425
"215";0,560923363826516
"216";0,485932089581715
"217";0,766530264788901
"218";0,72843016984858
"219";0,674960877651512
"220";0,304690379068024
"221";0,418709044075078
"222";0,235830144958776
"223";0,531694501028561
"224";0,173360122916913
"225";0,322581124923778
"226";0,170852545989567
"227";0,236163215590743
"228";0,0949476282100018
"229";0,154586470796569
"230";0,550492541657943
"231";0,7135166435656
"232";0,647567679701276
"233";0,239513242662849
"234";0,0604207758053911
"235";0,122277352619628
"236";0,448066163950377
"237";0,515523144880943
"238";0,642414825823594
"239";0,480934680033542
"240";0,760623830491733
"241";0,717665012720111
"242";0,664815987846088
"243";0,302231457326019
"244";0,438841721533464
"245";0,248107276909418
"246";0,522283906355108
"247";0,171167774505997
"248";0,3153324693644
"249";0,170909182987579
"250";0,237668263616322
"251";0,0900171284371282
"252";0,145396262802637
"253";0,535479467253247
"254";0,721383492958972
"255";0,653260942422414
"256";0,223621833942842
"257";0,0302958739583685
"258";0,128479902372054
"259";0,472075879693336
"260";0,547260090366796
"261";0,653914862097512
"262";0,5227985576205
"263";0,793310485089728
"264";0,751285357427928
"265";0,685278912548353
"266";0,323502440792255
"267";0,446202574116573
"268";0,284892974851543
"269";0,557534867351093
"270";0,186958438373903
"271";0,341818655836788
"272";0,188025207845377
"273";0,268658207613148
"274";0,0998469778117827
"275";0,158071332373566
