date,indicador,valor
2018-05-01,Tesouro Nacional,-4964427
2018-06-01,Tesouro Nacional,-16065866
2018-07-01,Tesouro Nacional,20021930
2018-08-01,Tesouro Nacional,-66073223
1994-01-01,Tít. púb. fed. - TN,-1254345488
1994-02-01,Tít. púb. fed. - TN,-550968856
1994-03-01,Tít. púb. fed. - TN,-288116860
1994-04-01,Tít. púb. fed. - TN,-2635735762
1994-05-01,Tít. púb. fed. - TN,-3042170682
1994-06-01,Tít. púb. fed. - TN,-2332194049
1994-07-01,Tít. púb. fed. - TN,-1037409
1994-08-01,Tít. púb. fed. - TN,3965070
1994-09-01,Tít. púb. fed. - TN,5617593
1994-10-01,Tít. púb. fed. - TN,652157
1994-11-01,Tít. púb. fed. - TN,4536414
1994-12-01,Tít. púb. fed. - TN,8423657
1995-01-01,Tít. púb. fed. - TN,-1623452
1995-02-01,Tít. púb. fed. - TN,319443
1995-03-01,Tít. púb. fed. - TN,-380827
1995-04-01,Tít. púb. fed. - TN,-1911954
1995-05-01,Tít. púb. fed. - TN,320781
1995-06-01,Tít. púb. fed. - TN,-734412
1995-07-01,Tít. púb. fed. - TN,-1206175
1995-08-01,Tít. púb. fed. - TN,715511
1995-09-01,Tít. púb. fed. - TN,-1215089
1995-10-01,Tít. púb. fed. - TN,-349338
1995-11-01,Tít. púb. fed. - TN,1254409
1995-12-01,Tít. púb. fed. - TN,-1759474
1996-01-01,Tít. púb. fed. - TN,1807966
1996-02-01,Tít. púb. fed. - TN,-1786348
1996-03-01,Tít. púb. fed. - TN,640960
1996-04-01,Tít. púb. fed. - TN,-1849572
1996-05-01,Tít. púb. fed. - TN,-6250079
1996-06-01,Tít. púb. fed. - TN,72070
1996-07-01,Tít. púb. fed. - TN,387020
1996-08-01,Tít. púb. fed. - TN,-1771965
1996-09-01,Tít. púb. fed. - TN,2022441
1996-10-01,Tít. púb. fed. - TN,-1586068
1996-11-01,Tít. púb. fed. - TN,-4610151
1996-12-01,Tít. púb. fed. - TN,-930327
1997-01-01,Tít. púb. fed. - TN,-4504904
1997-02-01,Tít. púb. fed. - TN,-2240012
1997-03-01,Tít. púb. fed. - TN,588420
1997-04-01,Tít. púb. fed. - TN,415573
1997-05-01,Tít. púb. fed. - TN,1195287
1997-06-01,Tít. púb. fed. - TN,1132170
1997-07-01,Tít. púb. fed. - TN,-3745756
1997-08-01,Tít. púb. fed. - TN,-494514
1997-09-01,Tít. púb. fed. - TN,2652604
1997-10-01,Tít. púb. fed. - TN,-425843
1997-11-01,Tít. púb. fed. - TN,5043962
1997-12-01,Tít. púb. fed. - TN,2240058
1998-01-01,Tít. púb. fed. - TN,35315221
1998-02-01,Tít. púb. fed. - TN,-4391307
1998-03-01,Tít. púb. fed. - TN,-481231
1998-04-01,Tít. púb. fed. - TN,7967800
1998-05-01,Tít. púb. fed. - TN,1221921
1998-06-01,Tít. púb. fed. - TN,11202288
1998-07-01,Tít. púb. fed. - TN,-11271840
1998-08-01,Tít. púb. fed. - TN,14985612
1998-09-01,Tít. púb. fed. - TN,10175855
1998-10-01,Tít. púb. fed. - TN,-17874795
1998-11-01,Tít. púb. fed. - TN,11826081
1998-12-01,Tít. púb. fed. - TN,5068004
1999-01-01,Tít. púb. fed. - TN,111147
1999-02-01,Tít. púb. fed. - TN,-243856
1999-03-01,Tít. púb. fed. - TN,3961393
1999-04-01,Tít. púb. fed. - TN,-13851182
1999-05-01,Tít. púb. fed. - TN,-12568817
1999-06-01,Tít. púb. fed. - TN,-7383313
1999-07-01,Tít. púb. fed. - TN,4190421
1999-08-01,Tít. púb. fed. - TN,-1509936
1999-09-01,Tít. púb. fed. - TN,-3782145
1999-10-01,Tít. púb. fed. - TN,-11551460
1999-11-01,Tít. púb. fed. - TN,-693874
1999-12-01,Tít. púb. fed. - TN,786421
2000-01-01,Tít. púb. fed. - TN,-11567370
2000-02-01,Tít. púb. fed. - TN,856666
2000-03-01,Tít. púb. fed. - TN,993427
2000-04-01,Tít. púb. fed. - TN,2394856
2000-05-01,Tít. púb. fed. - TN,1033433
2000-06-01,Tít. púb. fed. - TN,-474562
